country_code,entry_year,athletes_entering,stringency_2020_21,pop_15_24,gdp_per_capita_ppp,political_stability,log_entrants,stringency_z
HUN,2023,1,47.945,1017274.0784192012,40333.2546888118,0.7319,0.6931471805599453,-0.32792365200950235
HUN,2024,3,47.945,1017274.0784192012,40333.2546888118,0.7319,1.3862943611198906,-0.32792365200950235
IND,2020,1,66.30000000000001,257476344.46348223,9301.75603225735,-0.6351,0.6931471805599453,1.2310830770267975
IND,2021,5,66.30000000000001,257476344.46348223,9301.75603225735,-0.6351,1.791759469228055,1.2310830770267975
IND,2022,0,66.30000000000001,257476344.46348223,9301.75603225735,-0.6351,0.0,1.2310830770267975
IND,2023,4,66.30000000000001,257476344.46348223,9301.75603225735,-0.6351,1.6094379124341003,1.2310830770267975
IND,2024,1,66.30000000000001,257476344.46348223,9301.75603225735,-0.6351,0.6931471805599453,1.2310830770267975
IRL,2020,10,57.865,640287.1025366541,117862.128878959,0.9019,2.3978952727983707,0.5146449533863074
IRL,2021,6,57.865,640287.1025366541,117862.128878959,0.9019,1.9459101490553132,0.5146449533863074
IRL,2022,3,57.865,640287.1025366541,117862.128878959,0.9019,1.3862943611198906,0.5146449533863074
IRL,2023,5,57.865,640287.1025366541,117862.128878959,0.9019,1.791759469228055,0.5146449533863074
IRL,2024,8,57.865,640287.1025366541,117862.128878959,0.9019,2.1972245773362196,0.5146449533863074
ISL,2020,0,38.95,48168.4654113434,68118.3960312086,1.2144,0.0,-1.0919261324062066
ISL,2021,3,38.95,48168.4654113434,68118.3960312086,1.2144,1.3862943611198906,-1.0919261324062066
ISL,2022,1,38.95,48168.4654113434,68118.3960312086,1.2144,0.6931471805599453,-1.0919261324062066
ISL,2023,2,38.95,48168.4654113434,68118.3960312086,1.2144,1.0986122886681098,-1.0919261324062066
ISL,2024,2,38.95,48168.4654113434,68118.3960312086,1.2144,1.0986122886681098,-1.0919261324062066
ISR,2020,1,55.225,1399068.634389592,47527.151024672,-1.4648,0.6931471805599453,0.29041298582129355
ISR,2021,3,55.225,1399068.634389592,47527.151024672,-1.4648,1.3862943611198906,0.29041298582129355
ISR,2022,8,55.225,1399068.634389592,47527.151024672,-1.4648,2.1972245773362196,0.29041298582129355
ISR,2023,2,55.225,1399068.634389592,47527.151024672,-1.4648,1.0986122886681098,0.29041298582129355
ISR,2024,2,55.225,1399068.634389592,47527.151024672,-1.4648,1.0986122886681098,0.29041298582129355
ITA,2020,5,65.025,5827728.662711018,52870.3261442897,0.5833,1.791759469228055,1.1227892290550574
ITA,2021,6,65.025,5827728.662711018,52870.3261442897,0.5833,1.9459101490553132,1.1227892290550574
ITA,2022,11,65.025,5827728.662711018,52870.3261442897,0.5833,2.4849066497880004,1.1227892290550574
ITA,2023,10,65.025,5827728.662711018,52870.3261442897,0.5833,2.3978952727983707,1.1227892290550574
ITA,2024,5,65.025,5827728.662711018,52870.3261442897,0.5833,1.791759469228055,1.1227892290550574
JAM,2020,21,69.19,499212.1988051337,11398.8120394641,0.3848,3.091042453358316,1.4765491324294062
JAM,2021,48,69.19,499212.1988051337,11398.8120394641,0.3848,3.8918202981106265,1.4765491324294062
JAM,2022,26,69.19,499212.1988051337,11398.8120394641,0.3848,3.295836866004329,1.4765491324294062
JAM,2023,20,69.19,499212.1988051337,11398.8120394641,0.3848,3.044522437723423,1.4765491324294062
JAM,2024,14,69.19,499212.1988051337,11398.8120394641,0.3848,2.70805020110221,1.4765491324294062
JPN,2020,1,40.89,11924544.892350242,45858.6595131439,0.9511,0.6931471805599453,-0.9271496107864617
JPN,2021,2,40.89,11924544.892350242,45858.6595131439,0.9511,1.0986122886681098,-0.9271496107864617
JPN,2022,1,40.89,11924544.892350242,45858.6595131439,0.9511,0.6931471805599453,-0.9271496107864617
JPN,2023,4,40.89,11924544.892350242,45858.6595131439,0.9511,1.6094379124341003,-0.9271496107864617
JPN,2024,1,40.89,11924544.892350242,45858.6595131439,0.9511,0.6931471805599453,-0.9271496107864617
KEN,2020,4,57.38,10761145.422137422,5691.82513474417,-0.9378,1.6094379124341003,0.47345082298137126
KEN,2021,12,57.38,10761145.422137422,5691.82513474417,-0.9378,2.5649493574615367,0.47345082298137126
KEN,2022,34,57.38,10761145.422137422,5691.82513474417,-0.9378,3.5553480614894135,0.47345082298137126
KEN,2023,77,57.38,10761145.422137422,5691.82513474417,-0.9378,4.356708826689592,0.47345082298137126
KEN,2024,58,57.38,10761145.422137422,5691.82513474417,-0.9378,4.07753744390572,0.47345082298137126
KOR,2020,0,50.63,5898916.330585813,54029.3434990785,0.6098,0.0,-0.09986954863372101
KOR,2021,0,50.63,5898916.330585813,54029.3434990785,0.6098,0.0,-0.09986954863372101
KOR,2022,0,50.63,5898916.330585813,54029.3434990785,0.6098,0.0,-0.09986954863372101
KOR,2023,1,50.63,5898916.330585813,54029.3434990785,0.6098,0.6931471805599453,-0.09986954863372101
KOR,2024,0,50.63,5898916.330585813,54029.3434990785,0.6098,0.0,-0.09986954863372101
LBN,2020,0,63.025,969579.9340593008,11330.2687387422,-1.519,0.0,0.9529165263542888
LBN,2021,1,63.025,969579.9340593008,11330.2687387422,-1.519,0.6931471805599453,0.9529165263542888
LBN,2022,0,63.025,969579.9340593008,11330.2687387422,-1.519,0.0,0.9529165263542888
LBN,2023,0,63.025,969579.9340593008,11330.2687387422,-1.519,0.0,0.9529165263542888
