country_code,year,terms_of_trade_index
ITA,2015,100.0
JAM,2015,100.0
JOR,2015,100.0
JPN,2015,100.0
KAZ,2015,100.0
KEN,2015,100.0
KGZ,2015,100.0
KHM,2015,100.0
KIR,2015,100.0
KNA,2015,100.0
KOR,2015,100.0
KWT,2015,100.0
LAO,2015,100.0
LBN,2015,100.0
LBR,2015,100.0
LBY,2015,100.0
LCA,2015,100.0
LKA,2015,100.0
LSO,2015,100.0
LTU,2015,100.0
LUX,2015,100.0
LVA,2015,100.0
MAC,2015,100.0
MAF,2015,100.0
MAR,2015,100.0
MDA,2015,100.0
MDG,2015,100.0
MDV,2015,100.0
MEX,2015,100.0
MHL,2015,100.0
MKD,2015,100.0
MLI,2015,100.0
MLT,2015,100.0
MMR,2015,100.0
MNG,2015,100.0
MNP,2015,100.0
MOZ,2015,100.0
MRT,2015,100.0
MUS,2015,100.0
MWI,2015,100.0
MYS,2015,100.0
NAM,2015,100.0
NCL,2015,100.0
NER,2015,100.0
NGA,2015,100.0
NIC,2015,100.0
NLD,2015,100.0
NOR,2015,100.0
NPL,2015,100.0
NRU,2015,100.0
NZL,2015,100.0
OMN,2015,100.0
PAK,2015,100.0
PAN,2015,100.0
PER,2015,100.0
PHL,2015,100.0
PLW,2015,100.0
PNG,2015,100.0
POL,2015,100.0
PRK,2015,100.0
PRT,2015,100.0
PRY,2015,100.0
PSE,2015,100.0
PYF,2015,100.0
QAT,2015,100.0
ROU,2015,100.0
RUS,2015,100.0
RWA,2015,100.0
SAU,2015,100.0
SDN,2015,100.0
SEN,2015,100.0
SGP,2015,100.0
SLB,2015,100.0
SLE,2015,100.0
SLV,2015,100.0
SOM,2015,100.0
SRB,2015,100.0
STP,2015,100.0
SUR,2015,100.0
SVK,2015,100.0
SVN,2015,100.0
SWE,2015,100.0
SWZ,2015,100.0
SXM,2015,100.0
SYC,2015,100.0
SYR,2015,100.0
TCA,2015,100.0
TCD,2015,100.0
TGO,2015,100.0
THA,2015,100.0
TJK,2015,100.0
TKM,2015,100.0
TLS,2015,100.0
TON,2015,100.0
TTO,2015,100.0
TUN,2015,100.0
TUR,2015,100.0
TZA,2015,100.0
UGA,2015,100.0
UKR,2015,100.0
URY,2015,100.0
USA,2015,100.0
UZB,2015,100.0
VCT,2015,100.0
VEN,2015,100.0
VGB,2015,100.0
VNM,2015,100.0
VUT,2015,100.0
WLD,2015,100.0
WSM,2015,100.0
YEM,2015,100.0
ZAF,2015,100.0
ZMB,2015,100.0
ZWE,2015,100.0
ABW,2016,65.1
AFG,2016,105.1
AGO,2016,84.9
ALB,2016,99.0
AND,2016,104.1
ARE,2016,94.8
ARG,2016,106.1
ARM,2016,100.9
ASM,2016,108.7
ATG,2016,96.7
AUS,2016,99.9
AUT,2016,100.0
AZE,2016,87.1
BDI,2016,104.3
BEL,2016,101.3
BEN,2016,102.8
BFA,2016,110.9
BGD,2016,99.4
BGR,2016,101.8
BHR,2016,95.3
BHS,2016,101.2
BIH,2016,100.5
BLR,2016,94.1
BLZ,2016,110.7
BMU,2016,122.5
BOL,2016,84.5
BRA,2016,102.4
BRB,2016,103.6
BRN,2016,83.8
BTN,2016,97.7
BWA,2016,110.1
