iso_code,year,total_cases_per_million,total_deaths_per_million,stringency_index
NRU,2020,0.0,0.0,
NRU,2021,0.0,0.0,
NRU,2022,390914.47,84.6,
NRU,2023,456221.97,84.6,
NZL,2020,348.62,4.87,36.93
NZL,2021,2636.34,9.74,44.59
NZL,2022,395184.44,445.85,22.94
NZL,2023,475545.97,706.0,
OMN,2020,27121.32,315.21,64.16
OMN,2021,64491.2,947.1,56.83
OMN,2022,84416.24,978.39,18.53
OMN,2023,84446.06,978.39,
PAK,2020,1926.47,40.28,55.11
PAK,2021,5306.02,118.61,57.81
PAK,2022,6465.52,125.71,44.44
PAK,2023,6485.95,125.79,
PAN,2020,51504.6,853.49,64.42
PAN,2021,110520.83,1683.57,66.16
PAN,2022,232636.0,1946.7,20.01
PAN,2023,236964.56,1966.47,
PCN,2020,0.0,0.0,
PCN,2021,0.0,0.0,
PCN,2022,88888.89,0.0,
PCN,2023,88888.89,0.0,
PER,2020,30038.32,2763.91,68.12
PER,2021,67897.1,6047.84,63.23
PER,2022,132598.06,6512.45,30.2
PER,2023,134582.86,6587.4,
PHL,2020,4115.35,79.56,66.56
PHL,2021,24906.69,449.26,72.81
PHL,2022,35619.64,572.65,36.78
PHL,2023,36622.25,586.1,
PLW,2020,0.0,0.0,
PLW,2021,449.84,0.0,
PLW,2022,335582.53,506.07,
PLW,2023,352282.94,506.07,
PNG,2020,76.45,0.88,44.95
PNG,2021,3541.05,57.82,57.26
PNG,2022,4576.22,65.57,33.89
PNG,2023,4593.08,65.67,
POL,2020,32822.69,708.78,48.8
POL,2021,105529.62,2457.42,53.05
POL,2022,165826.77,3086.43,18.03
POL,2023,172774.22,3132.36,
PRI,2020,25394.55,502.94,0.0
PRI,2021,77857.53,1018.52,
PRI,2022,348981.53,1709.67,
PRI,2023,386523.97,1832.17,
PRK,2020,0.0,0.0,
PRK,2021,0.0,0.0,
PRK,2022,0.0,0.0,
PRK,2023,0.0,0.0,
PRT,2020,36236.09,642.7,54.85
PRT,2021,123129.38,1813.18,60.16
PRT,2022,532833.6,2474.11,16.66
PRT,2023,541370.7,2681.08,
PRY,2020,15367.0,318.62,62.96
PRY,2021,68801.52,2455.16,49.01
PRY,2022,106811.21,2908.97,19.7
PRY,2023,108832.66,2940.63,
PSE,2020,27998.56,265.02,67.01
PSE,2021,88297.61,923.61,70.88
PSE,2022,132552.62,1075.91,17.81
PSE,2023,132552.62,1075.91,
PYF,2020,59025.14,385.18,
PYF,2021,165420.19,2268.28,
PYF,2022,277863.97,2314.64,
PYF,2023,282561.0,2314.64,
QAT,2020,49405.27,84.36,61.66
QAT,2021,85669.49,212.28,63.33
QAT,2022,168709.73,236.82,33.13
QAT,2023,177884.27,238.55,
REU,2020,10222.11,48.19,
REU,2021,82376.98,460.1,
REU,2022,558388.44,1039.54,
REU,2023,567494.2,1056.75,
ROU,2020,32022.08,788.24,52.38
ROU,2021,94037.52,3054.04,62.25
ROU,2022,172436.3,3513.42,18.89
ROU,2023,183264.67,3585.06,
RUS,2020,20952.4,376.27,48.2
RUS,2021,71383.62,2089.7,46.46
RUS,2022,149500.67,2702.18,29.49
RUS,2023,163116.98,2756.97,
RWA,2020,572.63,5.35,61.69
RWA,2021,7655.98,98.6,60.96
RWA,2022,9737.0,107.46,39.19
RWA,2023,9758.09,107.54,
SAU,2020,11252.9,191.95,57.85
SAU,2021,17168.61,275.68,53.48
SAU,2022,25695.63,295.51,25.99
SAU,2023,26152.6,299.8,
SDN,2020,500.05,30.78,50.67
SDN,2021,937.26,66.78,30.53
SDN,2022,1289.71,101.13,7.64
SDN,2023,1295.84,102.18,
SEN,2020,1049.4,21.92,41.54
