school_norm,name_norm,profile_url,country_code,year
loyola ill,jason clayton,https://www.tfrrs.org/athletes/8015483/Loyola_IL/Jason_Clayton.html,AUS,2021
loyola ill,woody jerome,https://www.tfrrs.org/athletes/8240674/Loyola_IL/Woody__Jerome.html,GBR,2022
loyola ill,cael mulholland,https://www.tfrrs.org/athletes/8616018/Loyola_IL/Cael_Mulholland.html,AUS,2023
loyola ill,priscilla ravera,https://www.tfrrs.org/athletes/8616058/Loyola_IL/Priscilla_Ravera.html,ITA,2023
loyola ill,eileen seebon,https://www.tfrrs.org/athletes/8616059/Loyola_IL/Eileen_Seebon.html,DEU,2023
loyola ill,roisin treacy,https://www.tfrrs.org/athletes/8240755/Loyola_IL/Roisin_Treacy.html,IRL,2022
manhattan,thomas dubnov raz,https://www.tfrrs.org/athletes/8681302/Manhattan/Thomas_Dubnov_Raz.html,ISR,2023
manhattan,lewis forster,https://www.tfrrs.org/athletes/8799413/Manhattan/Lewis_Forster.html,GBR,2023
manhattan,ivan lytovchenko,https://www.tfrrs.org/athletes/8368649/Manhattan/Ivan_Lytovchenko.html,UKR,2022
marshall,lara check,https://www.tfrrs.org/athletes/8322561/Marshall/Lara_Check.html,AUS,2022
maryland,rhys allen,https://www.tfrrs.org/athletes/8324590/Maryland/Rhys_Allen.html,GBR,2022
maryland,lucy scothern,https://www.tfrrs.org/athletes/8592432/Maryland/Lucy_Scothern.html,GBR,2023
maryland,jennessa wolfe,https://www.tfrrs.org/athletes/8675426/Maryland/Jennessa_Wolfe.html,CAN,2023
miami fla,edgar campre,https://www.tfrrs.org/athletes/8404944/Miami_FL/Edgar_Campre.html,PRT,2023
miami fla,calea jackson,https://www.tfrrs.org/athletes/8687563/Miami_FL/Calea_Jackson.html,BHS,2023
miami fla,deisiane teixeira,https://www.tfrrs.org/athletes/8353877/Miami_FL/Deisiane_Teixeira.html,BRA,2023
miami ohio,anton martinez,https://www.tfrrs.org/athletes/8229329/Miami_OH/Anton_Martinez.html,ESP,2022
miami ohio,vincenzo matarazzo,https://www.tfrrs.org/athletes/8588316/Miami_OH/Vincenzo_Matarazzo.html,ITA,2023
miami ohio,chris perkins,https://www.tfrrs.org/athletes/8588315/Miami_OH/Chris_Perkins.html,GBR,2023
miami ohio,nora zubillaga,https://www.tfrrs.org/athletes/8229321/Miami_OH/Nora_Zubillaga.html,ESP,2022
michigan,riley flemington,https://www.tfrrs.org/athletes/8236692/Michigan/Riley_Flemington.html,CAN,2023
michigan state,sophia lucki,https://www.tfrrs.org/athletes/7917515/Michigan_State/Sophia_Lucki.html,CAN,2021
mid tenn state,wail bourahli,https://www.tfrrs.org/athletes/8614981/Mid_Tenn_State/Wail_Bourahli.html,DZA,2023
mid tenn state,joel iheakolam,https://www.tfrrs.org/athletes/8667710/Mid_Tenn_State/Joel_Iheakolam.html,NGA,2023
mid tenn state,brian kiptoo,https://www.tfrrs.org/athletes/8614980/Mid_Tenn_State/Brian_Kiptoo.html,KEN,2023
mid tenn state,juan lucas de la fuente,https://www.tfrrs.org/athletes/8614965/Mid_Tenn_State/Juan_Lucas_De_La_Fuente.html,ESP,2023
mid tenn state,vincent yegon,https://www.tfrrs.org/athletes/8014350/Mid_Tenn_State/Vincent_Yegon.html,KEN,2021
minnesota,charles godfred,https://www.tfrrs.org/athletes/8725163/Minnesota/Charles_Godfred.html,NGA,2023
minnesota,angelos mantzouranis,https://www.tfrrs.org/athletes/8676284/Minnesota/Angelos_Mantzouranis.html,GRC,2023
miss state,rickyla fagan,https://www.tfrrs.org/athletes/8369815/Mississippi_St/Rickyla_Fagan_.html,BRB,2023
miss state,ramat jimoh,https://www.tfrrs.org/athletes/8592940/Mississippi_St/Ramat_Jimoh.html,NGA,2023
miss state,tafada wright,https://www.tfrrs.org/athletes/8369898/Mississippi_St/Tafada_Wright.html,JAM,2023
missouri,petra gombas,https://www.tfrrs.org/athletes/8023469/Missouri/Petra_Gombas.html,HUN,2022
missouri,brianna lee,https://www.tfrrs.org/athletes/8023468/Missouri/Brianna_Lee.html,NZL,2022
monmouth,tomas barry,https://www.tfrrs.org/athletes/8618166/Monmouth_NJ/Tomas__Barry_.html,NZL,2023
monmouth,tennessee tremain,https://www.tfrrs.org/athletes/7992700/Monmouth_NJ/Tennessee_Tremain.html,CAN,2021
montana state,harvey cramb,https://www.tfrrs.org/athletes/8583843/Montana_State/Harvey_Cramb.html,AUS,2023
